 Variables , Total (Excluding Motor Vehicles) 
 2010 Jul ,91.185
 2010 Aug ,92.96
 2010 Sep ,93.732
 2010 Oct ,93.458
 2010 Nov ,95.406
 2010 Dec ,95.161
 2011 Jan ,96.261
 2011 Feb ,96.054
 2011 Mar ,96.069
 2011 Apr ,99.084
 2011 May ,99.094
 2011 Jun ,99.547
 2011 Jul ,101.251
 2011 Aug ,98.5
 2011 Sep ,98.084
 2011 Oct ,101.147
 2011 Nov ,100.437
 2011 Dec ,101.995
 2012 Jan ,101.876
 2012 Feb ,100.118
 2012 Mar ,101.909
 2012 Apr ,102.707
 2012 May ,100.39
 2012 Jun ,101.569
 2012 Jul ,101.131
 2012 Aug ,101.255
 2012 Sep ,102.414
 2012 Oct ,102.291
 2012 Nov ,101.741
 2012 Dec ,101.574
 2013 Jan ,100.103
 2013 Feb ,106.255
 2013 Mar ,103.32
 2013 Apr ,103.013
 2013 May ,103.267
 2013 Jun ,104.7
 2013 Jul ,102.148
 2013 Aug ,103.193
 2013 Sep ,102.165
 2013 Oct ,100.906
 2013 Nov ,101.642
 2013 Dec ,102.592
 2014 Jan ,102.046
 2014 Feb ,102.376
 2014 Mar ,102.312
 2014 Apr ,101.708
 2014 May ,101.4
 2014 Jun ,102.184
 2014 Jul ,99.582
 2014 Aug ,101.857
 2014 Sep ,101.697
 2014 Oct ,104.05
 2014 Nov ,102.31
 2014 Dec ,101.999
 2015 Jan ,103.376
 2015 Feb ,102.274
 2015 Mar ,100.608
 2015 Apr ,101.304
 2015 May ,101.821
 2015 Jun ,100.206
 2015 Jul ,100.33
 2015 Aug ,103.666
 2015 Sep ,99.849
 2015 Oct ,99.058
 2015 Nov ,100.161
 2015 Dec ,99.02
 2016 Jan ,99.403
 2016 Feb ,98.295
 2016 Mar ,97.862
 2016 Apr ,97.185
 2016 May ,99.038
 2016 Jun ,97.459
 2016 Jul ,98.183
 2016 Aug ,96.739
 2016 Sep ,97.332
 2016 Oct ,98.26
 2016 Nov ,97.471
 2016 Dec ,99.416
 2017 Jan ,98.898
 2017 Feb ,99.039
 2017 Mar ,98.569
 2017 Apr ,99.98
 2017 May ,99.176
 2017 Jun ,100.739
 2017 Jul ,100.665
 2017 Aug ,99.813
 2017 Sep ,99.66
 2017 Oct ,99.649
 2017 Nov ,101.174
 2017 Dec ,101.707
 2018 Jan ,101.748
 2018 Feb ,101.311
 2018 Mar ,101.778
 2018 Apr ,101.658
 2018 May ,101.648
 2018 Jun ,100.148
 2018 Jul ,101.307
 2018 Aug ,101.66
 2018 Sep ,101.299
 2018 Oct ,100.189
 2018 Nov ,101.822
 2018 Dec ,99.21
 2019 Jan ,98.831
 2019 Feb ,99.94
 2019 Mar ,100.057
 2019 Apr ,99.979
 2019 May ,99.568
 2019 Jun ,99.753
 2019 Jul ,98.806
 2019 Aug ,100.319
 2019 Sep ,100.999
 2019 Oct ,99.893
 2019 Nov ,100.229
 2019 Dec ,99.783
 2020 Jan ,99.372
 2020 Feb ,88.259
